data,nascidos,Mortos,diferencia
2018-01,248735,106838,141897
2018-02,230349,94994,135355
2018-03,264342,10939,253403
2018-04,262426,107849,154577
2018-05,268724,115068,153656
2018-06,245608,116967,128641
2018-07,246705,119675,127030
2018-08,243961,115169,128792
2018-09,237043,108897,128146
2018-10,23749,107666,-83917
2018-11,228568,103328,125240
2018-12,230981,110878,120103
2019-01,246048,110373,135675
2019-02,232779,97737,135042
2019-03,257871,109549,148322
2019-04,250164,11037,239127
2019-05,257068,118736,138332
2019-06,23636,118911,-95275
2019-07,24049,124885,-100836
2019-08,233817,118568,115249
2019-09,233289,112312,120977
2019-10,225172,111532,113640
2019-11,214454,105635,108819
2019-12,221634,111193,110441
2020-01,230864,110932,119932
2020-02,220071,104255,115816
2020-03,247191,117888,129303
2020-04,242088,123596,118492
2020-05,245069,154511,90558
2020-06,22827,140663,-117836
2020-07,230902,145262,85640
2020-08,220938,141329,79609
2020-09,225386,127115,98271
2020-10,215495,128797,86698
2020-11,207497,122598,84899
2020-12,216374,139878,76496
2021-01,221766,149151,72615
2021-02,211575,134735,76840
2021-03,240734,206643,34091
2021-04,232673,194114,38559
2021-05,239584,180434,59150
2021-06,221787,169752,52035
2021-07,222354,156177,66177
2021-08,219276,141192,78084
2021-09,220546,123651,96895
2021-10,214788,122834,91954
2021-11,210494,117618,92876
2021-12,216469,130053,86416
2022-01,21948,165577,-143629
2022-02,207081,133578,73503
2022-03,23375,121061,-97686
2022-04,22519,116477,-93958
2022-05,23083,130112,-107029
2022-06,212569,134755,77814
2022-07,212025,13643,198382
2022-08,208636,124621,84015
2022-09,192125,116534,75591
2022-10,18677,116355,-97678
2022-11,18961,104742,-85781
2022-12,153453,80441,73012
